customer_id,email,first_name,last_name,country,segment,lifetime_value,total_orders
b0616bf7-bf36-4ede-a393-c42673f83330,johnsonjoshua@example.org,Catherine,Vargas,DE,returning,4081.4,6
475bda56-37a5-41be-81e0-8acc100b940e,jillrhodes@example.net,Kaylee,Johnson,UK,churned,209.31,7
386532ef-65e2-48a1-83cd-679aa83022f4,garzaanthony@example.org,Jessica,Bennett,FR,vip,286.28,20
0db1b111-3258-42fe-b6ba-0100754a3788,jesseguzman@example.net,Jordan,Cooley,AU,returning,3957.45,17
50b454fc-179a-47f1-9006-e4b4f47edcd8,jennifermiles@example.com,Jason,Scott,CA,new,2688.74,36
559d78d4-6d2b-4047-9df7-17f1a3187fdc,shaneramirez@example.org,Rebecca,James,CA,new,2911.8,8
10e8eaee-613b-4968-852b-9fdd24065c78,helenpeterson@example.org,Jennifer,Rodriguez,CA,new,310.3,13
535975f3-adce-426b-aa60-5d40ece43296,susanrogers@example.org,Andrew,Shepard,AU,at_risk,1313.8,24
d0223922-7dcf-4a97-ab7e-a0e2adeb619b,wdavis@example.net,Jacqueline,Hunter,US,returning,3209.85,46
11fdcd1c-566c-4d4e-98bd-a1aeb870973c,lindsay78@example.org,Monique,Harris,AU,vip,4302.95,31
bdcda79d-58b9-48be-877f-72414855c75a,smiller@example.net,Jennifer,Stein,US,new,4589.07,23
ebf9fabd-b892-44ec-9fc6-b96812d7ad06,barbara10@example.net,Mindy,Hunter,CA,churned,2527.08,17
364fb7c4-4eff-461c-a7a8-1afedf6b6182,kendragalloway@example.org,Amy,Reese,DE,vip,2750.1,46
bf136d06-ffbb-426b-9a98-b4ad8d908ec2,jamesshawn@example.com,Jill,Gutierrez,DE,new,4173.6,24
ab19e7cd-f1e9-4c4f-ab5b-37fe6d835fb5,mitchellclark@example.com,Tyler,Turner,US,new,2711.24,43
2b1db624-ebae-4000-aa34-5da33d0f6827,lynchgeorge@example.net,Gabriel,Ramsey,CA,new,2608.45,10
895995d3-9917-4040-a0d6-0b1618009f6a,frankgray@example.net,Leslie,Vaughn,AU,returning,4530.17,31
5902d02b-0bd5-4516-8589-40a2ea480c3b,gabriellecameron@example.org,Kevin,Barber,DE,returning,3960.17,45
9a4191b1-e6fc-4212-a0bb-790a3ad0f8d2,lydiatrujillo@example.com,Grace,Whitaker,US,returning,4549.91,20
60c5a44c-8e09-48e9-bca0-cb7ae910264a,carl95@example.org,Nicholas,Odonnell,AU,new,1130.32,16
dc769638-bba5-437d-b63d-955e1e0651d8,pfoster@example.com,Joanne,Wiggins,CA,returning,2645.66,14
1ec0840f-c039-45e0-8130-51cadfeb202d,josephwright@example.net,Brent,Kelly,UK,new,4220.24,3
5c4b48bb-b6bf-4aec-bb69-dcf8e4f2a6b6,julie69@example.com,Bethany,Mitchell,CA,new,600.18,30
6a322cab-30a2-465b-9ce5-9007bf2a367a,jeffrey28@example.com,Sierra,Wells,CA,returning,3983.58,18
15cb98c3-9fb9-4b50-8108-53070ed3b260,camposmichelle@example.org,Jason,Sanchez,AU,returning,955.72,6
ebedca96-2d82-4736-8756-8be1a6dcc8a8,laurahenderson@example.org,Tyler,Gibbs,AU,vip,4050.19,20
c79facfa-46ff-438c-9024-e283bfc9c73d,djames@example.net,Alexander,Carter,FR,new,3079.4,35
be3a8d9b-2522-4288-8a85-7d7753e487bb,tasha01@example.net,Brittany,Wiley,FR,returning,1006.52,19
b73525f5-42cd-4b4b-8179-c5c56315ff78,kayla51@example.com,Tanya,Anderson,AU,returning,2393.1,26
7d8ca6d6-d372-472b-baf9-ead026f0c72a,amoore@example.net,Paige,Romero,AU,new,3425.43,35
6a9b804e-9477-46a0-92c2-b31e8e12b4aa,teresa28@example.org,Tara,Lawrence,UK,returning,3187.57,12
93020c6e-13df-436e-bedd-915bda92cdc7,meagan89@example.org,Susan,Owen,UK,new,2164.87,8
c7afc010-0498-405a-af34-a1f7f0a60fbd,nathanielmartin@example.net,Rhonda,Martin,CA,new,4501.86,37
b68fed37-4959-4609-8bb5-1dfb42bb75a2,georgetracy@example.org,Curtis,Torres,DE,at_risk,2620.35,49
1915b72f-1dba-4d4b-b030-6b15713797d2,natasha43@example.org,Patricia,Montoya,UK,churned,2554.04,10
9be5f2f6-1420-435d-a162-f92d76f00513,nataliearroyo@example.org,Jerry,Ellis,CA,vip,358.14,21
cf0467e4-c583-4068-ba90-7ddb88b112f2,wcabrera@example.net,Courtney,Elliott,US,returning,4614.5,49
19bf122f-8343-41b9-97dc-8ef471525e27,davidalvarez@example.net,Kelly,Bender,FR,new,926.73,41
91d48c3d-65cd-4229-911f-4e15c456190c,josephbrennan@example.com,Carrie,Daniels,DE,returning,2665.31,45
5adaed3e-31c5-4f0c-9a16-40b0a839ffde,sarahcampos@example.net,Erin,Lopez,CA,returning,4027.66,42
9e9df6c5-215a-4406-90a5-52030602b43f,jenniferross@example.net,Andrea,Salinas,AU,new,1116.49,29
ee7c16c2-536e-4984-9769-8e93e01ef0ae,samuel87@example.org,Michael,Morgan,US,returning,2660.5,31
85ef853c-9455-4ce3-aa97-46ff53ec89a1,jeffreymorgan@example.net,Craig,Holt,FR,new,1241.39,40
7101a658-059a-4709-8f57-6cba9bbf84e8,briannasmith@example.net,Johnny,Johnson,US,at_risk,3810.49,7
b8e43047-19bf-4316-942f-656bd7141fb5,perezrebecca@example.com,Jose,Curtis,CA,new,2843.49,34
9db536cf-b943-48da-9efe-658b510255ff,palmerjoshua@example.com,Robert,Ramirez,UK,returning,4287.08,34
b7f52405-cc5b-4f77-995e-13b64864c3c3,ambercummings@example.net,Wanda,Martinez,FR,returning,4478.06,30
f5a65d59-3617-4d88-a65d-ecddcf217c03,esanchez@example.com,Mike,Smith,US,returning,3261.23,4
dab37856-e61a-48b0-9774-51e3efd6d024,clintonhopkins@example.com,Jesse,Evans,UK,returning,3640.69,41
87a2831a-8fd0-425a-9374-6c7bdddb35cd,ujenkins@example.org,Eric,Vargas,DE,new,2768.64,30
4093cf4a-cc72-41ec-8a24-8c17a78af5c6,brownjessica@example.org,Michael,Ross,CA,churned,1952.92,25
b5654e21-8664-4375-8ad0-d593e18c2293,jamesherrera@example.org,Robert,Rodriguez,CA,vip,3258.18,14
d16c3fba-d04b-40cb-ac57-d6f4c878f250,dwhite@example.org,David,Gallegos,FR,at_risk,4546.03,24
5877c9c0-caaf-4f7c-8b58-c29a0c2e57c1,ramosmichelle@example.net,Richard,Kennedy,US,at_risk,2112.57,43
91cd6810-99a2-4946-948d-0f0b9f86b253,williamsyvette@example.org,Vincent,Rose,DE,returning,1606.33,31
740285bb-cbf7-4f9e-9988-fdfe59bd3098,housemelinda@example.org,Ralph,Mcbride,AU,at_risk,1972.76,39
902cf906-aa59-4208-ad64-62a0cdc19d78,ntucker@example.com,Kayla,Watson,FR,new,2205.22,28
